,Chembl_ID,IC50,units,SMILES,S_MOE,pIC50,activo,S_Ledock,S_VINA,NHA,LE_MOE,LE_Ledock,LE_VINA,logP,LELP_MOE,LELP_Ledock,LELP_VINA
125,CHEMBL420456,2900.0,nM,N=C1NC(=N)c2nc(CN3CCN(Cc4ccc(-c5ccccc5)cc4)CC3)nnc2N1,-6.0361342,5.537602002101044,1,-6.98,-7.8,32,0.18862919375,0.218125,0.24375,1.6247400000000003,8.613406905366684,7.448664756446992,6.665600000000001
126,CHEMBL98053,97000.0,nM,OCCN(CCO)Cc1nnc2NC(=N)NC(=N)c2n1,-5.8530774,4.013228265733755,1,-6.87,-5.7,20,0.29265387,0.3435,0.28500000000000003,-2.573459999999997,-8.793527999475959,-7.4918777292576335,-9.029684210526305
127,CHEMBL96952,6200.0,nM,N=C1NC(=N)c2nc(CN3CCN(Cc4ccccc4)CC3)nnc2N1,-5.7940192,5.207608310501746,1,-6.75,-7.7,26,0.2228468923076923,0.25961538461538464,0.29615384615384616,-0.042259999999998576,-0.1896369276787973,-0.16277925925925377,-0.14269610389609907
128,CHEMBL95255,29000.0,nM,N(CC)(CC)Cc1nnc2NC(=N)NC(=N)c2n1,-5.6819158,4.5376020021010435,1,-6.58,-6.3,18,0.31566198888888886,0.3655555555555556,0.35,-0.5182599999999993,-1.6418194722280095,-1.4177325227963504,-1.4807428571428551
129,CHEMBL95818,29000.0,nM,N=C1NC(=N)c2nc(CN3CCNCC3)nnc2N1,-5.4771371,4.5376020021010435,1,-6.66,-6.7,19,0.28827037368421055,0.3505263157894737,0.3526315789473684,-1.9548599999999974,-6.7813420262932524,-5.576927927927921,-5.543632835820889
130,CHEMBL316683,4500.0,nM,N=C1NC(=N)c2nc(CN3CCN(Cc4c5c(ccc4)cccc5)CC3)nnc2N1,-6.1659408,5.346787486224656,1,-7.27,-8.3,30,0.20553136000000002,0.24233333333333332,0.27666666666666667,1.11094,5.405209209923001,4.584346629986245,4.01544578313253
131,CHEMBL318919,3500.0,nM,N=C1NC(=N)c2nc(CN3CCN(Cc4cc5c(cc4)cccc5)CC3)nnc2N1,-5.8622065,5.455931955649724,1,-7.05,-8.2,30,0.19540688333333334,0.235,0.2733333333333333,1.1109400000000005,5.685265437169437,4.7274042553191515,4.064414634146344
132,CHEMBL323712,4300.0,nM,O=C1C(O)=C(c2cc(O)c(O)c(C=CC(C)C)c2)Oc2c(C(C=C)(C)C)c(O)cc(O)c12,-5.9967942,5.366531544420413,1,-6.27,-7.8,32,0.18739981875,0.1959375,0.24375,5.120800000000005,27.325533365810713,26.13486443381183,21.00841025641028
133,CHEMBL50,23300.0,nM,O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2c1c(O)cc(O)c2,-4.9039087,4.632644078973981,1,-5.88,-7.3,22,0.22290494090909088,0.2672727272727273,0.3318181818181818,1.9879999999999998,8.918599973119402,7.438095238095237,5.991232876712329
134,CHEMBL420310,41500.0,nM,Oc1c(O)cc(C2Oc3c(ccc(O)c3)CC2)cc1CC=C(C)C,-5.9436417,4.3819519032879075,1,-5.35,-7.9,24,0.2476517375,0.22291666666666665,0.32916666666666666,4.378400000000003,17.679665986595403,19.641420560747676,13.301468354430389
135,CHEMBL140954,4200.0,nM,[P+]([OH0])(=O)([O-])C(F)(F)c1ccc(COc2ccc(OCc3ccc(C([P+]([OH0])(=O)[O-])(F)F)cc3)cc2)cc1,-9.5233622,5.376750709602099,1,-8.27,-8.9,36,0.2645378388888889,0.22972222222222222,0.24722222222222223,4.911000000000004,18.56445195374383,21.37799274486096,19.86471910112361
136,CHEMBL344437,3900.0,nM,[P+]([OH0])(=O)([O-])C(F)(F)c1ccc(COCCOCc2ccc(C([P+]([OH0])(=O)[O-])(F)F)cc2)cc1,-9.6013546,5.4089353929735005,1,-8.17,-8.1,32,0.30004233125,0.2553125,0.253125,3.4864000000000024,11.619693746130372,13.655422276621797,13.773432098765442
137,CHEMBL1161222,4400.0,nM,[P+]([OH0])(=O)([O-])C(F)(F)c1ccc(CCCCc2ccc(C([P+]([OH0])(=O)[O-])(F)F)cc2)cc1,-8.2130594,5.356547323513812,1,-8.07,-9.0,30,0.27376864666666667,0.269,0.3,4.318400000000003,15.773902718882088,16.053531598513022,14.394666666666678
138,CHEMBL113833,21500.0,nM,O=C1C(O)=C(c2cc(O)c(O)c(CC=C(C)C)c2)Oc2c1c(O)cc(O)c2,-5.6998038,4.667561540084395,1,-5.74,-8.1,27,0.21110384444444444,0.2125925925925926,0.3,3.4967000000000015,16.563885935863272,16.447891986062725,11.655666666666672
139,CHEMBL115452,36800.0,nM,O=C(C=Cc1cc(O)c(O)cc1)c1c(O)cc(O)c(CC=C(C)C)c1,-6.1783891,4.434152181326482,1,-5.8,-8.1,25,0.24713556400000003,0.23199999999999998,0.324,3.913800000000002,15.83665230796164,16.869827586206906,12.079629629629634
140,CHEMBL140524,5300.0,nM,[P+]([OH0])(=O)([O-])C(F)(F)c1ccc(COc2cc(OCc3ccc(C([P+]([OH0])(=O)[O-])(F)F)cc3)ccc2)cc1,-10.043468,5.275724130399211,1,-8.66,-9.3,36,0.2789852222222222,0.24055555555555555,0.25833333333333336,4.911000000000004,17.60308291916698,20.415242494226344,19.010322580645173
